TransactionID,TransactionDate,StoreID,ProductID,Quantity,UnitPrice,DiscountAmount,GrossSales,NetSales,PaymentMethod,SalesChannel
T000055,2026-05-14 18:02:22,S002,P0086,2,62.39,6.24,124.78,118.54,Card,Store
T000056,2026-05-15 03:12:22,S007,P0085,5,75.89,0.0,379.45,379.45,Card,Store
T000057,2026-05-17 00:02:30,S006,P0033,1,74.69,7.47,74.69,67.22,Wallet,Store
T000058,2026-05-07 18:52:32,S008,P0070,4,101.49,0.0,405.96,405.96,Card,Store
T000059,2026-05-07 09:43:23,S008,P0080,4,21.84,0.0,87.36,87.36,Wallet,Store
T000060,2026-05-04 01:03:03,S005,P0017,4,99.39,39.76,397.56,357.8,Wallet,Store
T000061,2026-05-18 00:29:52,S004,P0078,2,68.94,6.89,137.88,130.99,Wallet,Store
T000062,2026-05-15 04:16:36,S002,P0053,2,122.01,0.0,244.02,244.02,Wallet,Store
T000063,2026-05-23 09:57:18,S008,P0020,3,53.57,24.11,160.71,136.6,Card,Store
T000064,2026-05-18 05:15:58,S008,P0062,2,57.17,11.43,114.34,102.91,Card,Store
T000065,2026-05-03 10:03:28,S010,P0025,5,95.59,0.0,477.95,477.95,Card,Store
T000066,2026-05-10 10:52:12,S009,P0044,3,21.97,0.0,65.91,65.91,Wallet,Store
T000067,2026-05-18 17:38:03,S008,P0075,2,97.7,19.54,195.4,175.86,Card,Store
T000068,2026-05-15 11:42:56,S009,P0043,5,93.77,46.89,468.85,421.96,Cash,Store
T000069,2026-05-08 14:57:21,S004,P0090,5,145.3,72.65,726.5,653.85,Cash,Store
T000070,2026-05-22 23:44:21,S008,P0041,4,62.42,24.97,249.68,224.71,Cash,Store
T000071,2026-05-19 12:05:15,S001,P0064,2,32.29,9.69,64.58,54.89,Cash,Store
T000072,2026-05-01 05:14:54,S002,P0057,5,66.37,33.19,331.85,298.66,Card,Store
T000073,2026-05-09 12:19:35,S003,P0084,1,82.16,8.22,82.16,73.94,Wallet,Store
T000074,2026-05-22 19:25:42,S007,P0089,1,21.03,1.05,21.03,19.98,Card,Store
T000075,2026-05-20 02:29:28,S008,P0041,5,62.42,0.0,312.1,312.1,Cash,Store
T000076,2026-05-14 03:35:03,S005,P0081,2,84.16,0.0,168.32,168.32,Wallet,Store
T000077,2026-05-23 10:54:11,S002,P0091,4,54.63,0.0,218.52,218.52,Cash,Store
T000078,2026-05-12 13:38:51,S006,P0006,1,60.11,3.01,60.11,57.1,Card,Store
T000079,2026-05-19 06:33:20,S004,P0019,5,114.2,57.1,571.0,513.9,Cash,Store
T000080,2026-05-20 08:46:06,S002,P0023,5,182.66,91.33,913.3,821.97,Card,Store
T000081,2026-05-21 09:14:49,S003,P0075,2,97.7,19.54,195.4,175.86,Card,Store
T000082,2026-05-22 19:54:03,S001,P0033,4,74.69,14.94,298.76,283.82,Cash,Store
T000083,2026-05-10 23:15:46,S008,P0010,3,184.67,83.1,554.01,470.91,Card,Store
T000084,2026-05-07 14:00:22,S005,P0089,4,21.03,4.21,84.12,79.91,Card,Store
T000085,2026-05-12 20:55:41,S004,P0014,4,166.66,100.0,666.64,566.64,Card,Store
T000086,2026-05-09 00:17:41,S005,P0090,1,145.3,14.53,145.3,130.77,Wallet,Store
T000087,2026-05-10 08:22:42,S001,P0088,5,91.35,45.68,456.75,411.07,Wallet,Store
T000088,2026-05-09 04:58:47,S004,P0046,2,24.33,7.3,48.66,41.36,Wallet,Store
T000089,2026-05-02 21:06:05,S001,P0013,3,75.22,22.57,225.66,203.09,Card,Store
T000090,2026-05-11 15:07:40,S003,P0094,1,138.97,6.95,138.97,132.02,Cash,Store
T000091,2026-05-17 18:16:11,S003,P0026,5,65.35,16.34,326.75,310.41,Card,Store
T000092,2026-05-24 12:19:56,S005,P0022,4,90.67,18.13,362.68,344.55,Cash,Store
T000093,2026-05-22 14:28:09,S002,P0060,2,59.06,0.0,118.12,118.12,Wallet,Store
T000094,2026-05-09 19:32:09,S002,P0047,4,57.17,0.0,228.68,228.68,Cash,Store
T000095,2026-05-13 23:14:55,S006,P0059,3,110.73,49.83,332.19,282.36,Card,Store
T000096,2026-05-20 20:26:24,S004,P0014,4,166.66,0.0,666.64,666.64,Card,Store
T000097,2026-05-23 11:00:08,S004,P0079,1,12.41,1.24,12.41,11.17,Wallet,Store
T000098,2026-05-02 11:04:53,S002,P0053,2,122.01,0.0,244.02,244.02,Card,Store
T000099,2026-05-05 14:09:00,S002,P0015,2,153.72,46.12,307.44,261.32,Card,Store
T000100,2026-05-24 05:37:33,S009,P0048,4,28.68,17.21,114.72,97.51,Card,Store
T000101,2026-05-14 10:11:06,S002,P0084,4,82.16,49.3,328.64,279.34,Cash,Store
T000102,2026-05-15 08:35:47,S006,P0089,2,21.03,4.21,42.06,37.85,Card,Store
T000103,2026-05-02 14:29:44,S006,P0013,5,75.22,18.81,376.1,357.29,Card,Store
T000104,2026-05-22 07:43:21,S002,P0025,4,95.59,0.0,382.36,382.36,Wallet,Store
T000105,2026-05-11 08:52:05,S010,P0082,1,96.77,0.0,96.77,96.77,Cash,Store
T000106,2026-05-07 21:20:58,S004,P0073,1,156.93,23.54,156.93,133.39,Cash,Store
T000107,2026-05-01 10:05:42,S006,P0030,2,137.6,41.28,275.2,233.92,Cash,Store
T000108,2026-05-04 00:56:19,S009,P0017,3,99.39,0.0,298.17,298.17,Cash,Store
T000109,2026-05-11 00:34:28,S006,P0002,2,70.73,21.22,141.46,120.24,Cash,Store
T000110,2026-05-17 04:08:16,S001,P0034,2,23.19,4.64,46.38,41.74,Wallet,Store
T000111,2026-05-17 21:36:52,S008,P0009,4,105.05,21.01,420.2,399.19,Cash,Store
T000112,2026-05-02 23:59:23,S009,P0058,2,51.47,15.44,102.94,87.5,Wallet,Store
T000113,2026-05-16 14:37:20,S008,P0039,1,23.0,0.0,23.0,23.0,Card,Store
T000114,2026-05-03 02:56:29,S002,P0088,4,91.35,36.54,365.4,328.86,Card,Store
T000115,2026-05-09 22:43:50,S003,P0078,1,68.94,0.0,68.94,68.94,Wallet,Store
T000116,2026-05-20 19:19:01,S009,P0075,3,97.7,29.31,293.1,263.79,Card,Store
T000117,2026-05-04 04:09:56,S009,P0059,5,110.73,55.37,553.65,498.28,Wallet,Store
T000118,2026-05-15 08:19:09,S009,P0084,2,82.16,16.43,164.32,147.89,Card,Store
T000119,2026-05-24 03:27:43,S008,P0044,4,21.97,8.79,87.88,79.09,Card,Store
T000120,2026-05-05 17:16:03,S006,P0055,3,63.94,9.59,191.82,182.23,Cash,Store
T000121,2026-05-04 13:34:03,S002,P0012,1,35.08,3.51,35.08,31.57,Cash,Store
T000122,2026-05-18 12:00:07,S001,P0072,5,114.12,85.59,570.6,485.01,Wallet,Store
T000123,2026-05-24 01:52:23,S007,P0016,3,51.68,15.5,155.04,139.54,Card,Store
T000124,2026-05-19 18:28:27,S005,P0077,3,88.55,0.0,265.65,265.65,Cash,Store
T000125,2026-05-12 20:15:10,S008,P0020,2,53.57,0.0,107.14,107.14,Card,Store
T000126,2026-05-14 20:25:26,S005,P0015,5,153.72,0.0,768.6,768.6,Wallet,Store
T000127,2026-05-22 09:44:14,S009,P0079,1,12.41,1.86,12.41,10.55,Cash,Store
T000128,2026-05-12 00:13:20,S005,P0024,3,111.14,16.67,333.42,316.75,Cash,Store
T000129,2026-05-05 23:03:11,S010,P0019,4,114.2,0.0,456.8,456.8,Cash,Store
T000130,2026-05-14 16:31:00,S009,P0012,2,35.08,7.02,70.16,63.14,Card,Store
T000131,2026-05-25 20:39:55,S006,P0021,3,144.78,21.72,434.34,412.62,Wallet,Store
T000132,2026-05-25 22:29:41,S001,P0011,2,90.41,0.0,180.82,180.82,Cash,Store
T000133,2026-05-22 15:26:16,S002,P0087,3,55.98,16.79,167.94,151.15,Card,Store
T000134,2026-05-07 18:39:14,S008,P0078,4,68.94,13.79,275.76,261.97,Cash,Store
T000135,2026-05-22 21:35:43,S007,P0045,1,33.79,1.69,33.79,32.1,Card,Store
T000136,2026-05-13 21:49:14,S005,P0068,1,119.82,0.0,119.82,119.82,Cash,Store
T000137,2026-05-25 04:59:47,S004,P0001,3,101.2,0.0,303.6,303.6,Card,Store
T000138,2026-05-16 15:40:46,S006,P0038,1,44.59,0.0,44.59,44.59,Cash,Store
T000139,2026-05-17 20:20:33,S007,P0017,5,99.39,0.0,496.95,496.95,Wallet,Store
T000140,2026-05-14 00:40:56,S002,P0046,4,24.33,0.0,97.32,97.32,Card,Store
T000141,2026-05-19 14:43:28,S006,P0010,5,184.67,92.34,923.35,831.01,Wallet,Store
T000142,2026-05-13 00:45:33,S007,P0082,3,96.77,0.0,290.31,290.31,Card,Store
T000143,2026-05-03 15:54:00,S010,P0022,4,90.67,18.13,362.68,344.55,Cash,Store
T000144,2026-05-17 02:51:48,S007,P0032,5,187.28,93.64,936.4,842.76,Card,Store
T000145,2026-05-25 06:07:17,S006,P0040,2,101.86,10.19,203.72,193.53,Cash,Store
T000146,2026-05-07 12:43:13,S002,P0066,5,137.94,103.45,689.7,586.25,Card,Store
T000147,2026-05-05 09:19:10,S003,P0094,2,138.97,0.0,277.94,277.94,Cash,Store
T000148,2026-05-06 22:51:46,S010,P0023,2,182.66,0.0,365.32,365.32,Card,Store
T000149,2026-05-22 20:33:09,S010,P0060,5,59.06,29.53,295.3,265.77,Wallet,Store
T000150,2026-05-05 16:00:40,S010,P0082,3,96.77,14.52,290.31,275.79,Cash,Store
T000151,2026-05-19 02:02:42,S008,P0061,3,110.26,16.54,330.78,314.24,Card,Store
T000152,2026-05-15 01:22:09,S002,P0065,3,32.67,9.8,98.01,88.21,Cash,Store
T000153,2026-05-20 21:37:47,S005,P0048,1,28.68,0.0,28.68,28.68,Wallet,Store
T000154,2026-05-24 01:29:36,S008,P0050,5,18.16,13.62,90.8,77.18,Card,Store
T000155,2026-05-16 18:15:15,S004,P0074,3,59.52,26.78,178.56,151.78,Cash,Store
T000156,2026-05-23 03:04:13,S008,P0008,1,18.79,0.94,18.79,17.85,Wallet,Store
T000157,2026-05-23 15:56:17,S003,P0083,1,41.33,0.0,41.33,41.33,Card,Store
T000158,2026-05-12 13:34:30,S009,P0068,5,119.82,0.0,599.1,599.1,Card,Store
T000159,2026-05-02 22:58:11,S007,P0050,3,18.16,8.17,54.48,46.31,Wallet,Store
T000160,2026-05-18 14:04:27,S002,P0043,3,93.77,0.0,281.31,281.31,Card,Store
T000161,2026-05-03 21:13:00,S010,P0033,2,74.69,7.47,149.38,141.91,Wallet,Store
T000162,2026-05-05 21:39:53,S006,P0019,3,114.2,34.26,342.6,308.34,Wallet,Store
T000163,2026-05-21 11:57:34,S005,P0011,5,90.41,45.21,452.05,406.84,Cash,Store
T000164,2026-05-17 13:10:25,S009,P0086,1,62.39,6.24,62.39,56.15,Cash,Store
T000165,2026-05-11 17:42:16,S005,P0047,2,57.17,0.0,114.34,114.34,Cash,Store
T000166,2026-05-10 03:40:56,S003,P0029,2,38.23,0.0,76.46,76.46,Wallet,Store
T000167,2026-05-22 12:15:40,S009,P0099,5,44.46,0.0,222.3,222.3,Wallet,Store
T000168,2026-05-06 06:35:03,S010,P0017,4,99.39,0.0,397.56,397.56,Wallet,Store
T000169,2026-05-02 14:57:32,S010,P0099,2,44.46,8.89,88.92,80.03,Card,Store
T000170,2026-05-10 16:20:41,S004,P0087,4,55.98,33.59,223.92,190.33,Cash,Store
T000171,2026-05-07 13:23:33,S004,P0069,3,173.59,52.08,520.77,468.69,Wallet,Store
T000172,2026-05-25 13:54:12,S008,P0074,4,59.52,11.9,238.08,226.18,Wallet,Store
T000173,2026-05-20 05:02:20,S007,P0068,2,119.82,0.0,239.64,239.64,Card,Store
T000174,2026-05-04 18:47:01,S008,P0007,3,144.34,64.95,433.02,368.07,Cash,Store
T000175,2026-05-15 18:41:26,S002,P0037,2,50.07,5.01,100.14,95.13,Cash,Store
T000176,2026-05-12 00:58:15,S002,P0056,2,104.18,20.84,208.36,187.52,Card,Store
T000177,2026-05-08 14:03:35,S007,P0007,5,144.34,36.09,721.7,685.61,Cash,Store
T000178,2026-05-04 23:39:51,S004,P0048,1,28.68,1.43,28.68,27.25,Card,Store
T000179,2026-05-16 05:03:11,S003,P0019,1,114.2,5.71,114.2,108.49,Wallet,Store
T000180,2026-05-03 00:41:30,S008,P0061,5,110.26,0.0,551.3,551.3,Card,Store
T000181,2026-05-17 15:24:36,S003,P0028,5,96.72,72.54,483.6,411.06,Cash,Store
T000182,2026-05-04 01:44:18,S005,P0100,2,29.71,2.97,59.42,56.45,Cash,Store
T000183,2026-05-04 18:11:53,S010,P0054,4,38.48,0.0,153.92,153.92,Wallet,Store
T000184,2026-05-08 05:13:38,S001,P0069,5,173.59,130.19,867.95,737.76,Card,Store
T000185,2026-05-08 20:46:38,S001,P0055,5,63.94,15.98,319.7,303.72,Card,Store
T000186,2026-05-03 19:09:11,S002,P0024,5,111.14,27.79,555.7,527.91,Wallet,Store
T000187,2026-05-13 17:07:01,S009,P0065,5,32.67,0.0,163.35,163.35,Cash,Store
T000188,2026-05-24 00:35:28,S007,P0082,3,96.77,14.52,290.31,275.79,Card,Store
T000189,2026-05-25 21:11:11,S006,P0009,2,105.05,0.0,210.1,210.1,Wallet,Store
T000190,2026-05-12 19:52:47,S006,P0097,2,40.86,0.0,81.72,81.72,Card,Store
T000191,2026-05-21 06:38:11,S003,P0083,4,41.33,16.53,165.32,148.79,Cash,Store
T000192,2026-05-07 01:35:41,S008,P0009,1,105.05,5.25,105.05,99.8,Cash,Store
T000193,2026-05-13 19:46:16,S006,P0006,3,60.11,27.05,180.33,153.28,Card,Store
T000194,2026-05-12 01:44:25,S001,P0033,2,74.69,7.47,149.38,141.91,Wallet,Store
T000195,2026-05-14 14:33:51,S005,P0043,1,93.77,4.69,93.77,89.08,Wallet,Store
T000196,2026-05-16 18:06:51,S007,P0057,3,66.37,0.0,199.11,199.11,Card,Store
T000197,2026-05-03 15:40:40,S005,P0067,1,14.66,1.47,14.66,13.19,Wallet,Store
T000198,2026-05-04 02:54:54,S009,P0024,3,111.14,16.67,333.42,316.75,Card,Store
T000199,2026-05-20 15:30:51,S005,P0085,3,75.89,22.77,227.67,204.9,Cash,Store
T000200,2026-05-02 12:50:10,S008,P0089,3,21.03,6.31,63.09,56.78,Wallet,Store
T000201,2026-05-22 23:12:40,S005,P0056,1,104.18,0.0,104.18,104.18,Card,Store
T000202,2026-05-05 22:07:15,S009,P0047,2,57.17,0.0,114.34,114.34,Wallet,Store
T000203,2026-05-08 23:29:22,S001,P0057,2,66.37,0.0,132.74,132.74,Card,Store
T000204,2026-05-20 05:35:11,S007,P0047,5,57.17,0.0,285.85,285.85,Wallet,Store
T000205,2026-05-25 02:47:57,S006,P0058,3,51.47,15.44,154.41,138.97,Wallet,Store
T000206,2026-05-11 23:38:59,S009,P0018,3,41.56,12.47,124.68,112.21,Card,Store
T000207,2026-05-16 18:51:01,S002,P0032,1,187.28,0.0,187.28,187.28,Card,Store
T000208,2026-05-23 16:14:53,S002,P0072,3,114.12,17.12,342.36,325.24,Cash,Store
T000209,2026-05-04 04:56:30,S005,P0079,4,12.41,0.0,49.64,49.64,Cash,Store
T000210,2026-05-22 11:38:09,S003,P0058,4,51.47,0.0,205.88,205.88,Wallet,Store
T000211,2026-05-10 10:55:15,S002,P0045,5,33.79,25.34,168.95,143.61,Cash,Store
T000212,2026-05-08 04:25:07,S003,P0092,3,103.99,46.8,311.97,265.17,Cash,Store
T000213,2026-05-12 20:10:16,S004,P0018,4,41.56,0.0,166.24,166.24,Wallet,Store
T000214,2026-05-20 03:08:20,S008,P0048,5,28.68,0.0,143.4,143.4,Cash,Store
T000215,2026-05-14 14:54:25,S007,P0040,4,101.86,61.12,407.44,346.32,Wallet,Store
T000216,2026-05-15 16:57:37,S003,P0010,3,184.67,0.0,554.01,554.01,Wallet,Store
T000217,2026-05-21 21:24:02,S006,P0067,2,14.66,4.4,29.32,24.92,Cash,Store
T000218,2026-05-02 04:31:14,S003,P0099,4,44.46,26.68,177.84,151.16,Wallet,Store
T000219,2026-05-11 08:12:32,S005,P0020,2,53.57,0.0,107.14,107.14,Card,Store
T000220,2026-05-07 23:07:18,S005,P0067,1,14.66,0.73,14.66,13.93,Wallet,Store
T000221,2026-05-18 03:24:05,S003,P0036,3,14.43,6.49,43.29,36.8,Wallet,Store
T000222,2026-05-05 06:13:59,S003,P0083,5,41.33,31.0,206.65,175.65,Wallet,Store
T000223,2026-05-02 01:01:58,S010,P0080,3,21.84,9.83,65.52,55.69,Cash,Store
T000224,2026-05-25 20:49:51,S010,P0006,3,60.11,0.0,180.33,180.33,Card,Store
T000225,2026-05-10 23:22:16,S001,P0080,4,21.84,13.1,87.36,74.26,Card,Store
T000226,2026-05-15 02:39:24,S004,P0062,4,57.17,11.43,228.68,217.25,Wallet,Store
T000227,2026-05-16 16:54:35,S003,P0008,4,18.79,7.52,75.16,67.64,Cash,Store
T000228,2026-05-23 11:37:33,S010,P0044,2,21.97,2.2,43.94,41.74,Wallet,Store
T000229,2026-05-17 20:26:56,S007,P0045,2,33.79,3.38,67.58,64.2,Cash,Store
T000230,2026-05-09 16:22:09,S004,P0041,4,62.42,0.0,249.68,249.68,Cash,Store
T000231,2026-05-13 22:24:18,S002,P0019,1,114.2,5.71,114.2,108.49,Card,Store
T000232,2026-05-24 11:23:08,S003,P0032,3,187.28,84.28,561.84,477.56,Cash,Store
T000233,2026-05-15 18:09:33,S003,P0098,4,88.52,53.11,354.08,300.97,Card,Store
T000234,2026-05-17 16:38:50,S001,P0064,1,32.29,3.23,32.29,29.06,Cash,Store
T000235,2026-05-02 10:14:37,S010,P0028,3,96.72,0.0,290.16,290.16,Card,Store
T000236,2026-05-01 03:54:49,S008,P0077,3,88.55,39.85,265.65,225.8,Card,Store
T000237,2026-05-12 01:38:50,S005,P0018,3,41.56,12.47,124.68,112.21,Card,Store
T000238,2026-05-12 20:08:32,S010,P0007,5,144.34,0.0,721.7,721.7,Card,Store
T000239,2026-05-25 20:01:10,S007,P0010,5,184.67,92.34,923.35,831.01,Card,Store
T000240,2026-05-04 14:20:29,S010,P0080,1,21.84,0.0,21.84,21.84,Card,Store
T000241,2026-05-07 21:56:06,S009,P0044,3,21.97,0.0,65.91,65.91,Wallet,Store
T000242,2026-05-02 04:59:21,S009,P0052,1,69.9,0.0,69.9,69.9,Wallet,Store
T000243,2026-05-05 22:04:23,S008,P0043,5,93.77,46.89,468.85,421.96,Wallet,Store
T000244,2026-05-06 14:18:25,S006,P0018,5,41.56,10.39,207.8,197.41,Wallet,Store
T000245,2026-05-17 18:33:29,S005,P0095,5,181.52,45.38,907.6,862.22,Wallet,Store
T000246,2026-05-01 13:24:41,S010,P0063,3,97.34,29.2,292.02,262.82,Card,Store
T000247,2026-05-10 22:54:38,S002,P0087,4,55.98,33.59,223.92,190.33,Cash,Store
T000248,2026-05-19 08:17:04,S008,P0077,3,88.55,39.85,265.65,225.8,Wallet,Store
T000249,2026-05-17 22:54:07,S010,P0007,4,144.34,0.0,577.36,577.36,Wallet,Store
T000250,2026-05-02 20:50:47,S007,P0080,2,21.84,0.0,43.68,43.68,Wallet,Store
T000251,2026-05-11 15:14:50,S004,P0015,1,153.72,15.37,153.72,138.35,Cash,Store
T000252,2026-05-25 22:15:47,S004,P0053,4,122.01,73.21,488.04,414.83,Card,Store
T000253,2026-05-07 20:25:16,S001,P0095,2,181.52,54.46,363.04,308.58,Card,Store
T000254,2026-05-11 06:18:19,S008,P0085,5,75.89,37.95,379.45,341.5,Card,Store
T000255,2026-05-22 23:25:19,S006,P0069,5,173.59,43.4,867.95,824.55,Wallet,Store
T000256,2026-05-08 10:09:29,S010,P0034,4,23.19,0.0,92.76,92.76,Wallet,Store
T000257,2026-05-23 07:32:48,S004,P0039,3,23.0,3.45,69.0,65.55,Wallet,Store
T000258,2026-05-12 20:24:24,S008,P0091,3,54.63,16.39,163.89,147.5,Wallet,Store
T000259,2026-05-22 19:46:37,S005,P0036,1,14.43,2.16,14.43,12.27,Card,Store
T000260,2026-05-02 10:28:20,S006,P0051,2,92.29,9.23,184.58,175.35,Wallet,Store
T000261,2026-05-24 17:26:33,S006,P0011,4,90.41,18.08,361.64,343.56,Cash,Store
T000262,2026-05-23 09:53:21,S009,P0026,3,65.35,29.41,196.05,166.64,Cash,Store
T000263,2026-05-08 01:50:53,S010,P0014,5,166.66,0.0,833.3,833.3,Wallet,Store
T000264,2026-05-04 15:02:52,S004,P0068,2,119.82,0.0,239.64,239.64,Card,Store
T000265,2026-05-01 20:02:15,S008,P0092,1,103.99,0.0,103.99,103.99,Cash,Store
T000266,2026-05-25 10:27:29,S008,P0053,4,122.01,0.0,488.04,488.04,Card,Store
T000267,2026-05-08 19:29:03,S001,P0037,1,50.07,7.51,50.07,42.56,Wallet,Store
T000268,2026-05-06 01:19:23,S001,P0093,2,14.68,2.94,29.36,26.42,Card,Store
T000269,2026-05-01 10:51:50,S003,P0064,3,32.29,0.0,96.87,96.87,Wallet,Store
T000270,2026-05-15 23:20:58,S002,P0078,3,68.94,10.34,206.82,196.48,Wallet,Store
T000271,2026-05-15 09:56:01,S008,P0068,2,119.82,35.95,239.64,203.69,Cash,Store
T000272,2026-05-21 09:22:00,S006,P0015,2,153.72,30.74,307.44,276.7,Wallet,Store
T000273,2026-05-19 07:01:58,S001,P0024,3,111.14,16.67,333.42,316.75,Cash,Store
T000274,2026-05-11 03:09:28,S007,P0079,4,12.41,7.45,49.64,42.19,Card,Store
T000275,2026-05-16 11:46:55,S002,P0086,2,62.39,0.0,124.78,124.78,Cash,Store
T000276,2026-05-15 09:43:15,S005,P0001,4,101.2,0.0,404.8,404.8,Card,Store
T000277,2026-05-09 23:47:59,S010,P0039,5,23.0,0.0,115.0,115.0,Card,Store
T000278,2026-05-15 11:10:13,S004,P0089,1,21.03,0.0,21.03,21.03,Cash,Store
T000279,2026-05-21 10:44:31,S009,P0052,3,69.9,0.0,209.7,209.7,Card,Store
T000280,2026-05-16 05:34:38,S004,P0079,2,12.41,0.0,24.82,24.82,Card,Store
T000281,2026-05-23 19:59:49,S010,P0096,3,134.76,40.43,404.28,363.85,Card,Store
T000282,2026-05-22 21:41:34,S009,P0097,2,40.86,0.0,81.72,81.72,Cash,Store
T000283,2026-05-03 20:32:26,S008,P0068,5,119.82,29.96,599.1,569.14,Cash,Store
