SnapshotDate,StoreID,ProductID,StockOnHand,ReservedQty,AvailableQty,ReorderPoint,SafetyStock
2026-05-25,S001,P0044,79,29,50,46,26
2026-05-25,S001,P0045,268,2,266,33,24
2026-05-25,S001,P0046,223,2,221,45,19
2026-05-25,S001,P0047,76,4,72,58,38
2026-05-25,S001,P0048,153,26,127,30,26
2026-05-25,S001,P0049,218,9,209,51,11
2026-05-25,S001,P0050,282,2,280,17,26
2026-05-25,S001,P0051,55,16,39,42,23
2026-05-25,S001,P0052,48,14,34,57,33
2026-05-25,S001,P0053,291,26,265,31,21
2026-05-25,S001,P0054,130,18,112,20,34
2026-05-25,S001,P0055,257,0,257,22,33
2026-05-25,S001,P0056,236,5,231,26,36
2026-05-25,S001,P0057,201,1,200,20,23
2026-05-25,S001,P0058,152,10,142,52,33
2026-05-25,S001,P0059,232,24,208,57,24
2026-05-25,S001,P0060,135,10,125,26,16
2026-05-25,S001,P0061,94,2,92,53,18
2026-05-25,S001,P0062,54,13,41,49,10
2026-05-25,S001,P0063,2,12,-10,22,10
2026-05-25,S001,P0064,87,20,67,45,24
2026-05-25,S001,P0065,207,27,180,57,40
2026-05-25,S001,P0066,249,9,240,54,36
2026-05-25,S001,P0067,184,22,162,58,40
2026-05-25,S001,P0068,202,25,177,34,12
2026-05-25,S001,P0069,64,4,60,15,16
2026-05-25,S001,P0070,57,26,31,16,32
2026-05-25,S001,P0071,96,27,69,16,16
2026-05-25,S001,P0072,246,20,226,24,30
2026-05-25,S001,P0073,123,13,110,55,37
2026-05-25,S001,P0074,275,6,269,20,19
2026-05-25,S001,P0075,237,4,233,45,23
2026-05-25,S001,P0076,11,3,8,25,38
2026-05-25,S001,P0077,78,23,55,59,24
2026-05-25,S001,P0078,248,15,233,16,37
2026-05-25,S001,P0079,230,18,212,30,16
2026-05-25,S001,P0080,150,18,132,40,11
2026-05-25,S001,P0081,170,0,170,21,30
2026-05-25,S001,P0082,221,13,208,46,33
2026-05-25,S001,P0083,296,19,277,50,19
2026-05-25,S001,P0084,18,15,3,40,25
2026-05-25,S001,P0085,262,18,244,54,39
2026-05-25,S001,P0086,249,7,242,60,11
2026-05-25,S001,P0087,270,0,270,42,28
2026-05-25,S001,P0088,161,17,144,19,18
2026-05-25,S001,P0089,213,28,185,45,13
2026-05-25,S001,P0090,253,19,234,56,21
2026-05-25,S001,P0091,229,22,207,42,10
2026-05-25,S001,P0092,82,9,73,27,25
2026-05-25,S001,P0093,176,14,162,29,26
2026-05-25,S001,P0094,112,18,94,58,20
2026-05-25,S001,P0095,239,4,235,33,33
2026-05-25,S001,P0096,199,30,169,41,36
2026-05-25,S001,P0097,184,25,159,45,35
2026-05-25,S001,P0098,82,19,63,28,19
2026-05-25,S001,P0099,44,21,23,45,14
2026-05-25,S001,P0100,88,6,82,25,29
2026-05-25,S002,P0001,251,3,248,41,40
2026-05-25,S002,P0002,252,9,243,30,16
2026-05-25,S002,P0003,285,1,284,16,21
2026-05-25,S002,P0004,133,11,122,58,15
2026-05-25,S002,P0005,89,26,63,47,11
2026-05-25,S002,P0006,32,10,22,42,13
2026-05-25,S002,P0007,116,3,113,50,17
2026-05-25,S002,P0008,249,8,241,36,35
2026-05-25,S002,P0009,181,24,157,17,34
2026-05-25,S002,P0010,285,8,277,24,37
2026-05-25,S002,P0011,263,19,244,57,13
2026-05-25,S002,P0012,25,29,-4,43,35
2026-05-25,S002,P0013,234,30,204,22,13
2026-05-25,S002,P0014,52,26,26,50,11
2026-05-25,S002,P0015,259,3,256,25,30
2026-05-25,S002,P0016,60,27,33,28,39
2026-05-25,S002,P0017,185,5,180,33,32
2026-05-25,S002,P0018,226,24,202,47,25
2026-05-25,S002,P0019,50,4,46,56,21
2026-05-25,S002,P0020,171,26,145,23,13
2026-05-25,S002,P0021,103,14,89,41,34
2026-05-25,S002,P0022,3,7,-4,45,20
2026-05-25,S002,P0023,146,16,130,25,12
2026-05-25,S002,P0024,136,11,125,60,34
2026-05-25,S002,P0025,212,11,201,55,31
2026-05-25,S002,P0026,125,4,121,48,23
2026-05-25,S002,P0027,116,4,112,42,23
2026-05-25,S002,P0028,209,28,181,44,40
2026-05-25,S002,P0029,264,25,239,58,21
2026-05-25,S002,P0030,15,14,1,24,34
2026-05-25,S002,P0031,5,22,-17,48,40
2026-05-25,S002,P0032,35,2,33,36,20
2026-05-25,S002,P0033,205,24,181,25,23
2026-05-25,S002,P0034,31,12,19,17,31
2026-05-25,S002,P0035,77,28,49,51,11
2026-05-25,S002,P0036,266,9,257,41,22
2026-05-25,S002,P0037,283,27,256,34,33
2026-05-25,S002,P0038,160,29,131,37,10
2026-05-25,S002,P0039,143,28,115,48,29
2026-05-25,S002,P0040,75,22,53,40,24
2026-05-25,S002,P0041,105,28,77,49,29
2026-05-25,S002,P0042,226,22,204,37,38
2026-05-25,S002,P0043,207,24,183,27,38
2026-05-25,S002,P0044,154,2,152,17,27
2026-05-25,S002,P0045,171,12,159,23,26
2026-05-25,S002,P0046,276,9,267,28,12
2026-05-25,S002,P0047,261,17,244,34,26
2026-05-25,S002,P0048,174,24,150,55,15
2026-05-25,S002,P0049,11,0,11,49,28
2026-05-25,S002,P0050,132,7,125,34,33
2026-05-25,S002,P0051,216,16,200,22,33
2026-05-25,S002,P0052,30,26,4,38,18
2026-05-25,S002,P0053,259,11,248,22,11
2026-05-25,S002,P0054,63,14,49,34,28
2026-05-25,S002,P0055,2,14,-12,36,17
2026-05-25,S002,P0056,297,18,279,60,38
2026-05-25,S002,P0057,273,27,246,53,17
2026-05-25,S002,P0058,179,9,170,33,31
2026-05-25,S002,P0059,293,21,272,23,32
2026-05-25,S002,P0060,193,16,177,30,13
2026-05-25,S002,P0061,167,16,151,52,16
2026-05-25,S002,P0062,184,14,170,21,14
2026-05-25,S002,P0063,217,26,191,41,12
2026-05-25,S002,P0064,47,1,46,42,38
2026-05-25,S002,P0065,66,15,51,28,24
2026-05-25,S002,P0066,39,11,28,58,26
2026-05-25,S002,P0067,206,18,188,50,26
2026-05-25,S002,P0068,202,27,175,31,28
2026-05-25,S002,P0069,255,20,235,42,24
2026-05-25,S002,P0070,250,23,227,41,36
2026-05-25,S002,P0071,83,4,79,47,14
2026-05-25,S002,P0072,248,22,226,44,14
2026-05-25,S002,P0073,262,27,235,48,13
2026-05-25,S002,P0074,108,14,94,45,11
2026-05-25,S002,P0075,80,30,50,50,21
2026-05-25,S002,P0076,60,19,41,41,13
2026-05-25,S002,P0077,61,11,50,51,19
2026-05-25,S002,P0078,20,16,4,24,13
2026-05-25,S002,P0079,190,9,181,38,19
2026-05-25,S002,P0080,150,15,135,16,35
2026-05-25,S002,P0081,73,4,69,52,23
2026-05-25,S002,P0082,24,29,-5,34,38
2026-05-25,S002,P0083,145,6,139,26,36
2026-05-25,S002,P0084,250,0,250,22,27
2026-05-25,S002,P0085,178,2,176,17,23
2026-05-25,S002,P0086,246,18,228,34,28
2026-05-25,S002,P0087,231,28,203,36,35
2026-05-25,S002,P0088,193,15,178,53,14
2026-05-25,S002,P0089,70,16,54,55,24
2026-05-25,S002,P0090,230,21,209,43,14
2026-05-25,S002,P0091,166,2,164,54,31
2026-05-25,S002,P0092,209,12,197,29,38
2026-05-25,S002,P0093,202,10,192,49,11
2026-05-25,S002,P0094,226,23,203,32,30
2026-05-25,S002,P0095,45,27,18,25,32
2026-05-25,S002,P0096,12,18,-6,55,35
2026-05-25,S002,P0097,158,17,141,56,13
2026-05-25,S002,P0098,286,2,284,27,40
2026-05-25,S002,P0099,277,18,259,18,40
2026-05-25,S002,P0100,291,16,275,27,34
2026-05-25,S003,P0001,243,16,227,16,13
2026-05-25,S003,P0002,272,5,267,16,18
2026-05-25,S003,P0003,105,7,98,60,36
2026-05-25,S003,P0004,296,14,282,20,35
2026-05-25,S003,P0005,273,19,254,35,22
2026-05-25,S003,P0006,23,15,8,16,20
2026-05-25,S003,P0007,223,5,218,41,10
2026-05-25,S003,P0008,270,10,260,39,18
2026-05-25,S003,P0009,46,3,43,21,27
2026-05-25,S003,P0010,86,9,77,24,15
2026-05-25,S003,P0011,130,24,106,20,14
2026-05-25,S003,P0012,157,30,127,41,31
2026-05-25,S003,P0013,86,1,85,54,40
2026-05-25,S003,P0014,166,5,161,16,32
2026-05-25,S003,P0015,29,9,20,39,13
2026-05-25,S003,P0016,163,4,159,41,38
2026-05-25,S003,P0017,165,8,157,39,40
2026-05-25,S003,P0018,61,1,60,27,17
2026-05-25,S003,P0019,300,7,293,46,26
2026-05-25,S003,P0020,258,12,246,22,18
2026-05-25,S003,P0021,31,10,21,44,27
2026-05-25,S003,P0022,208,2,206,45,10
2026-05-25,S003,P0023,208,20,188,29,39
2026-05-25,S003,P0024,9,8,1,50,40
2026-05-25,S003,P0025,300,21,279,21,17
2026-05-25,S003,P0026,284,20,264,23,19
2026-05-25,S003,P0027,290,13,277,43,12
2026-05-25,S003,P0028,256,6,250,24,21
2026-05-25,S003,P0029,276,5,271,30,27
2026-05-25,S003,P0030,216,30,186,50,24
2026-05-25,S003,P0031,21,0,21,44,40
2026-05-25,S003,P0032,148,20,128,25,10
2026-05-25,S003,P0033,30,29,1,45,18
2026-05-25,S003,P0034,128,26,102,58,22
2026-05-25,S003,P0035,179,26,153,55,16
2026-05-25,S003,P0036,299,26,273,47,19
2026-05-25,S003,P0037,23,5,18,49,28
2026-05-25,S003,P0038,35,9,26,20,22
2026-05-25,S003,P0039,62,26,36,23,33
2026-05-25,S003,P0040,284,8,276,42,16
2026-05-25,S003,P0041,258,30,228,35,38
2026-05-25,S003,P0042,175,20,155,31,34
2026-05-25,S003,P0043,231,8,223,30,31
2026-05-25,S003,P0044,164,10,154,28,24
2026-05-25,S003,P0045,168,0,168,59,14
2026-05-25,S003,P0046,1,19,-18,45,10
2026-05-25,S003,P0047,4,21,-17,26,23
2026-05-25,S003,P0048,284,28,256,59,32
2026-05-25,S003,P0049,250,24,226,40,27
2026-05-25,S003,P0050,41,25,16,56,30
2026-05-25,S003,P0051,39,17,22,16,38
2026-05-25,S003,P0052,227,21,206,22,21
2026-05-25,S003,P0053,192,26,166,53,21
2026-05-25,S003,P0054,198,5,193,59,10
2026-05-25,S003,P0055,63,14,49,38,39
2026-05-25,S003,P0056,98,14,84,15,17
2026-05-25,S003,P0057,10,24,-14,32,31
2026-05-25,S003,P0058,183,6,177,20,36
2026-05-25,S003,P0059,155,25,130,60,17
2026-05-25,S003,P0060,119,15,104,38,11
2026-05-25,S003,P0061,143,15,128,60,32
2026-05-25,S003,P0062,107,0,107,27,36
2026-05-25,S003,P0063,202,3,199,32,28
2026-05-25,S003,P0064,256,15,241,25,27
2026-05-25,S003,P0065,99,21,78,51,31
2026-05-25,S003,P0066,289,5,284,19,28
2026-05-25,S003,P0067,65,23,42,19,14
2026-05-25,S003,P0068,132,29,103,51,37
2026-05-25,S003,P0069,116,28,88,48,33
2026-05-25,S003,P0070,140,6,134,58,10
2026-05-25,S003,P0071,272,19,253,31,31
2026-05-25,S003,P0072,286,28,258,44,10
2026-05-25,S003,P0073,218,20,198,58,40
2026-05-25,S003,P0074,26,27,-1,35,23
2026-05-25,S003,P0075,208,8,200,22,31
2026-05-25,S003,P0076,265,14,251,46,21
2026-05-25,S003,P0077,264,24,240,17,38
2026-05-25,S003,P0078,114,1,113,32,39
2026-05-25,S003,P0079,215,17,198,43,20
2026-05-25,S003,P0080,2,12,-10,27,20
2026-05-25,S003,P0081,41,28,13,51,35
2026-05-25,S003,P0082,12,23,-11,29,32
2026-05-25,S003,P0083,216,30,186,19,39
2026-05-25,S003,P0084,127,6,121,25,20
2026-05-25,S003,P0085,159,2,157,55,30
2026-05-25,S003,P0086,49,0,49,45,23
2026-05-25,S003,P0087,12,18,-6,55,39
2026-05-25,S003,P0088,171,26,145,31,17
2026-05-25,S003,P0089,55,15,40,30,40
2026-05-25,S003,P0090,174,26,148,18,36
2026-05-25,S003,P0091,170,16,154,30,40
2026-05-25,S003,P0092,37,24,13,53,29
2026-05-25,S003,P0093,224,24,200,21,30
2026-05-25,S003,P0094,228,18,210,22,12
2026-05-25,S003,P0095,31,29,2,17,22
2026-05-25,S003,P0096,160,28,132,59,12
2026-05-25,S003,P0097,65,1,64,43,11
2026-05-25,S003,P0098,154,19,135,55,23
2026-05-25,S003,P0099,33,3,30,58,11
2026-05-25,S003,P0100,286,1,285,33,37
2026-05-25,S004,P0001,195,12,183,21,29
2026-05-25,S004,P0002,210,7,203,53,35
2026-05-25,S004,P0003,5,14,-9,39,24
2026-05-25,S004,P0004,219,28,191,54,29
2026-05-25,S004,P0005,51,10,41,56,40
2026-05-25,S004,P0006,13,14,-1,48,20
2026-05-25,S004,P0007,300,6,294,21,13
2026-05-25,S004,P0008,6,19,-13,60,12
2026-05-25,S004,P0009,99,28,71,51,14
2026-05-25,S004,P0010,260,8,252,37,23
2026-05-25,S004,P0011,246,23,223,54,24
2026-05-25,S004,P0012,95,7,88,23,35
2026-05-25,S004,P0013,22,1,21,23,19
2026-05-25,S004,P0014,299,13,286,47,40
2026-05-25,S004,P0015,183,9,174,52,38
2026-05-25,S004,P0016,277,24,253,24,14
2026-05-25,S004,P0017,240,9,231,53,20
2026-05-25,S004,P0018,149,11,138,15,26
2026-05-25,S004,P0019,300,21,279,58,14
2026-05-25,S004,P0020,29,7,22,47,36
2026-05-25,S004,P0021,286,27,259,18,23
2026-05-25,S004,P0022,176,6,170,27,30
2026-05-25,S004,P0023,103,25,78,19,20
2026-05-25,S004,P0024,96,21,75,45,32
2026-05-25,S004,P0025,239,19,220,59,20
2026-05-25,S004,P0026,296,18,278,36,29
2026-05-25,S004,P0027,153,13,140,36,15
2026-05-25,S004,P0028,53,14,39,17,25
2026-05-25,S004,P0029,112,29,83,15,30
2026-05-25,S004,P0030,114,22,92,29,24
2026-05-25,S004,P0031,109,7,102,45,33
2026-05-25,S004,P0032,169,25,144,39,16
2026-05-25,S004,P0033,204,5,199,15,21
2026-05-25,S004,P0034,5,2,3,37,10
2026-05-25,S004,P0035,284,3,281,24,19
2026-05-25,S004,P0036,225,6,219,55,28
2026-05-25,S004,P0037,184,1,183,16,16
2026-05-25,S004,P0038,101,9,92,26,17
2026-05-25,S004,P0039,134,23,111,26,20
2026-05-25,S004,P0040,283,7,276,26,16
2026-05-25,S004,P0041,11,5,6,31,39
2026-05-25,S004,P0042,51,0,51,58,14
2026-05-25,S004,P0043,194,20,174,22,20
2026-05-25,S004,P0044,107,9,98,44,17
2026-05-25,S004,P0045,189,25,164,38,31
2026-05-25,S004,P0046,87,30,57,48,35
2026-05-25,S004,P0047,222,28,194,60,12
2026-05-25,S004,P0048,60,4,56,23,35
2026-05-25,S004,P0049,97,6,91,49,22
2026-05-25,S004,P0050,191,10,181,53,23
2026-05-25,S004,P0051,125,29,96,17,34
2026-05-25,S004,P0052,300,6,294,49,19
2026-05-25,S004,P0053,76,10,66,30,11
2026-05-25,S004,P0054,143,27,116,23,37
2026-05-25,S004,P0055,260,30,230,52,38
2026-05-25,S004,P0056,250,6,244,20,35
2026-05-25,S004,P0057,240,25,215,57,29
2026-05-25,S004,P0058,33,5,28,47,22
2026-05-25,S004,P0059,260,11,249,46,26
2026-05-25,S004,P0060,237,5,232,35,32
2026-05-25,S004,P0061,191,16,175,59,25
2026-05-25,S004,P0062,253,15,238,32,28
2026-05-25,S004,P0063,205,20,185,52,30
2026-05-25,S004,P0064,18,6,12,29,38
2026-05-25,S004,P0065,103,14,89,30,22
2026-05-25,S004,P0066,111,9,102,42,38
2026-05-25,S004,P0067,193,18,175,25,39
2026-05-25,S004,P0068,191,8,183,50,12
2026-05-25,S004,P0069,68,24,44,20,19
2026-05-25,S004,P0070,227,16,211,37,17
2026-05-25,S004,P0071,298,1,297,44,26
2026-05-25,S004,P0072,172,13,159,43,24
2026-05-25,S004,P0073,221,13,208,38,35
2026-05-25,S004,P0074,254,10,244,32,22
2026-05-25,S004,P0075,12,5,7,43,17
2026-05-25,S004,P0076,135,20,115,19,21
2026-05-25,S004,P0077,42,9,33,47,26
2026-05-25,S004,P0078,279,20,259,20,35
2026-05-25,S004,P0079,141,29,112,29,13
2026-05-25,S004,P0080,60,2,58,38,11
2026-05-25,S004,P0081,279,6,273,36,16
2026-05-25,S004,P0082,168,8,160,34,33
2026-05-25,S004,P0083,140,6,134,60,29
2026-05-25,S004,P0084,70,27,43,60,33
2026-05-25,S004,P0085,278,29,249,31,10
2026-05-25,S004,P0086,153,9,144,37,35
2026-05-25,S004,P0087,206,30,176,40,36
2026-05-25,S004,P0088,296,24,272,56,10
2026-05-25,S004,P0089,241,20,221,47,34
2026-05-25,S004,P0090,76,27,49,40,17
2026-05-25,S004,P0091,116,23,93,28,25
2026-05-25,S004,P0092,119,16,103,52,35
2026-05-25,S004,P0093,282,24,258,44,33
2026-05-25,S004,P0094,236,10,226,20,20
2026-05-25,S004,P0095,96,13,83,59,23
2026-05-25,S004,P0096,107,14,93,43,37
2026-05-25,S004,P0097,285,0,285,38,14
2026-05-25,S004,P0098,295,27,268,23,19
2026-05-25,S004,P0099,4,15,-11,57,36
2026-05-25,S004,P0100,181,10,171,29,23
2026-05-25,S005,P0001,217,21,196,40,34
2026-05-25,S005,P0002,275,9,266,35,28
2026-05-25,S005,P0003,11,18,-7,17,39
2026-05-25,S005,P0004,71,4,67,36,28
2026-05-25,S005,P0005,293,27,266,40,22
2026-05-25,S005,P0006,104,30,74,40,12
2026-05-25,S005,P0007,273,12,261,27,25
2026-05-25,S005,P0008,55,10,45,51,40
2026-05-25,S005,P0009,231,20,211,34,12
2026-05-25,S005,P0010,87,3,84,58,27
2026-05-25,S005,P0011,90,1,89,59,29
2026-05-25,S005,P0012,250,0,250,26,16
2026-05-25,S005,P0013,35,29,6,39,19
2026-05-25,S005,P0014,105,7,98,33,31
2026-05-25,S005,P0015,268,2,266,44,11
2026-05-25,S005,P0016,188,16,172,15,15
2026-05-25,S005,P0017,167,27,140,41,22
2026-05-25,S005,P0018,80,3,77,23,27
2026-05-25,S005,P0019,214,15,199,19,22
2026-05-25,S005,P0020,105,4,101,28,19
2026-05-25,S005,P0021,221,26,195,60,31
2026-05-25,S005,P0022,243,5,238,53,28
2026-05-25,S005,P0023,158,18,140,27,26
2026-05-25,S005,P0024,234,8,226,27,10
2026-05-25,S005,P0025,73,14,59,19,36
2026-05-25,S005,P0026,204,19,185,30,26
2026-05-25,S005,P0027,168,29,139,51,38
2026-05-25,S005,P0028,251,14,237,44,28
2026-05-25,S005,P0029,20,23,-3,20,19
2026-05-25,S005,P0030,233,11,222,59,36
2026-05-25,S005,P0031,152,12,140,54,36
2026-05-25,S005,P0032,89,13,76,30,15
2026-05-25,S005,P0033,221,14,207,39,39
2026-05-25,S005,P0034,93,22,71,51,13
2026-05-25,S005,P0035,201,22,179,17,17
2026-05-25,S005,P0036,80,8,72,55,27
2026-05-25,S005,P0037,149,21,128,19,32
2026-05-25,S005,P0038,111,29,82,46,23
2026-05-25,S005,P0039,283,3,280,38,12
2026-05-25,S005,P0040,53,16,37,35,23
2026-05-25,S005,P0041,230,5,225,31,16
2026-05-25,S005,P0042,259,1,258,44,10
2026-05-25,S005,P0043,37,20,17,59,31
2026-05-25,S005,P0044,236,12,224,36,33
2026-05-25,S005,P0045,204,27,177,27,22
2026-05-25,S005,P0046,19,0,19,31,13
2026-05-25,S005,P0047,69,10,59,57,33
2026-05-25,S005,P0048,237,15,222,44,12
2026-05-25,S005,P0049,42,17,25,57,17
2026-05-25,S005,P0050,224,4,220,45,36
2026-05-25,S005,P0051,142,26,116,25,15
2026-05-25,S005,P0052,9,19,-10,21,15
2026-05-25,S005,P0053,150,3,147,49,33
2026-05-25,S005,P0054,200,5,195,19,31
2026-05-25,S005,P0055,5,21,-16,32,14
2026-05-25,S005,P0056,225,11,214,26,16
2026-05-25,S005,P0057,17,28,-11,58,27
2026-05-25,S005,P0058,110,14,96,59,11
2026-05-25,S005,P0059,267,20,247,57,32
2026-05-25,S005,P0060,52,12,40,59,19
2026-05-25,S005,P0061,227,1,226,53,10
2026-05-25,S005,P0062,24,24,0,39,34
2026-05-25,S005,P0063,103,29,74,30,21
2026-05-25,S005,P0064,122,6,116,20,10
2026-05-25,S005,P0065,215,0,215,15,20
2026-05-25,S005,P0066,98,21,77,57,12
2026-05-25,S005,P0067,112,30,82,21,35
2026-05-25,S005,P0068,85,23,62,25,11
2026-05-25,S005,P0069,212,16,196,21,36
2026-05-25,S005,P0070,167,10,157,50,30
2026-05-25,S005,P0071,97,19,78,28,39
2026-05-25,S005,P0072,277,12,265,42,13
2026-05-25,S005,P0073,118,6,112,21,21
2026-05-25,S005,P0074,165,5,160,15,22
2026-05-25,S005,P0075,161,0,161,39,16
2026-05-25,S005,P0076,234,7,227,19,31
2026-05-25,S005,P0077,142,20,122,54,21
2026-05-25,S005,P0078,22,2,20,28,23
2026-05-25,S005,P0079,154,24,130,53,25
2026-05-25,S005,P0080,52,22,30,49,35
2026-05-25,S005,P0081,291,5,286,31,40
2026-05-25,S005,P0082,48,19,29,35,30
2026-05-25,S005,P0083,198,21,177,59,14
2026-05-25,S005,P0084,170,5,165,55,34
2026-05-25,S005,P0085,162,27,135,57,25
2026-05-25,S005,P0086,34,10,24,16,29
2026-05-25,S005,P0087,299,14,285,39,26
2026-05-25,S005,P0088,119,16,103,52,32
2026-05-25,S005,P0089,6,7,-1,16,29
2026-05-25,S005,P0090,63,9,54,30,33
2026-05-25,S005,P0091,219,24,195,30,29
2026-05-25,S005,P0092,40,1,39,23,21
2026-05-25,S005,P0093,255,9,246,27,14
2026-05-25,S005,P0094,192,6,186,56,11
2026-05-25,S005,P0095,121,29,92,53,40
2026-05-25,S005,P0096,227,23,204,36,14
2026-05-25,S005,P0097,142,10,132,56,35
2026-05-25,S005,P0098,20,16,4,41,30
2026-05-25,S005,P0099,147,24,123,16,17
2026-05-25,S005,P0100,169,10,159,30,16
2026-05-25,S006,P0001,276,1,275,57,17
2026-05-25,S006,P0002,113,19,94,39,26
2026-05-25,S006,P0003,164,5,159,43,30
2026-05-25,S006,P0004,3,2,1,46,12
2026-05-25,S006,P0005,98,1,97,55,14
2026-05-25,S006,P0006,104,4,100,20,15
2026-05-25,S006,P0007,281,26,255,28,17
2026-05-25,S006,P0008,259,2,257,42,33
2026-05-25,S006,P0009,239,9,230,25,33
2026-05-25,S006,P0010,101,7,94,42,15
2026-05-25,S006,P0011,127,9,118,33,28
2026-05-25,S006,P0012,229,30,199,55,16
2026-05-25,S006,P0013,139,27,112,45,12
2026-05-25,S006,P0014,184,12,172,39,15
2026-05-25,S006,P0015,241,14,227,42,26
2026-05-25,S006,P0016,221,24,197,24,36
2026-05-25,S006,P0017,246,0,246,39,23
2026-05-25,S006,P0018,42,24,18,34,29
2026-05-25,S006,P0019,275,4,271,50,33
2026-05-25,S006,P0020,89,8,81,39,24
2026-05-25,S006,P0021,156,14,142,33,22
2026-05-25,S006,P0022,287,19,268,45,12
2026-05-25,S006,P0023,170,4,166,60,25
2026-05-25,S006,P0024,100,4,96,27,10
2026-05-25,S006,P0025,6,27,-21,47,33
2026-05-25,S006,P0026,191,15,176,40,39
2026-05-25,S006,P0027,212,30,182,40,33
2026-05-25,S006,P0028,191,12,179,46,19
2026-05-25,S006,P0029,36,13,23,17,39
2026-05-25,S006,P0030,63,12,51,51,15
2026-05-25,S006,P0031,99,24,75,42,40
2026-05-25,S006,P0032,130,24,106,37,26
2026-05-25,S006,P0033,250,20,230,59,21
2026-05-25,S006,P0034,29,20,9,39,39
2026-05-25,S006,P0035,217,23,194,30,17
2026-05-25,S006,P0036,244,1,243,38,30
2026-05-25,S006,P0037,14,22,-8,57,30
2026-05-25,S006,P0038,75,8,67,53,24
2026-05-25,S006,P0039,75,8,67,30,29
2026-05-25,S006,P0040,296,30,266,57,36
2026-05-25,S006,P0041,82,0,82,22,34
2026-05-25,S006,P0042,47,20,27,60,39
2026-05-25,S006,P0043,196,12,184,60,28
2026-05-25,S006,P0044,41,16,25,27,38
2026-05-25,S006,P0045,216,5,211,42,18
2026-05-25,S006,P0046,154,16,138,49,31
2026-05-25,S006,P0047,195,18,177,34,33
2026-05-25,S006,P0048,210,24,186,20,13
2026-05-25,S006,P0049,293,24,269,37,36
2026-05-25,S006,P0050,73,8,65,28,39
2026-05-25,S006,P0051,203,22,181,34,10
2026-05-25,S006,P0052,86,26,60,46,10
2026-05-25,S006,P0053,49,2,47,59,23
2026-05-25,S006,P0054,268,13,255,56,19
2026-05-25,S006,P0055,220,5,215,26,21
2026-05-25,S006,P0056,95,22,73,23,16
2026-05-25,S006,P0057,249,5,244,47,40
2026-05-25,S006,P0058,56,14,42,51,36
2026-05-25,S006,P0059,108,5,103,27,11
2026-05-25,S006,P0060,93,25,68,27,18
2026-05-25,S006,P0061,209,14,195,55,39
2026-05-25,S006,P0062,55,27,28,55,15
2026-05-25,S006,P0063,40,9,31,20,22
2026-05-25,S006,P0064,63,8,55,19,20
2026-05-25,S006,P0065,15,18,-3,30,25
2026-05-25,S006,P0066,248,21,227,21,10
2026-05-25,S006,P0067,31,8,23,15,31
2026-05-25,S006,P0068,298,25,273,17,13
2026-05-25,S006,P0069,108,16,92,15,22
2026-05-25,S006,P0070,266,30,236,32,39
2026-05-25,S006,P0071,248,15,233,36,29
2026-05-25,S006,P0072,219,10,209,38,31
2026-05-25,S006,P0073,175,10,165,30,40
2026-05-25,S006,P0074,184,21,163,40,22
2026-05-25,S006,P0075,29,11,18,36,35
2026-05-25,S006,P0076,51,0,51,44,37
2026-05-25,S006,P0077,205,23,182,23,10
