ReturnID,TransactionID,ReturnDate,StoreID,ProductID,ReturnQty,ReturnReason,RefundAmount
R000231,T001190,2026-05-02,S004,P0087,2,Damaged,111.96
R000232,T001104,2026-05-05,S001,P0086,1,Size Issue,62.39
R000233,T001042,2026-05-08,S006,P0087,1,Quality Issue,55.98
R000234,T000172,2026-05-17,S008,P0074,3,Size Issue,169.63
R000235,T000532,2026-05-11,S001,P0059,2,Damaged,221.46
R000236,T000366,2026-05-14,S007,P0087,1,Damaged,50.38
R000237,T000287,2026-05-23,S009,P0017,2,Size Issue,178.9
R000238,T001061,2026-05-20,S010,P0041,1,Size Issue,56.18
R000239,T000865,2026-05-24,S009,P0067,1,Wrong Item,14.66
R000240,T000338,2026-05-11,S003,P0050,1,Size Issue,15.44
R000241,T000024,2026-05-25,S008,P0004,1,Size Issue,44.1
R000242,T000172,2026-05-06,S008,P0074,3,Quality Issue,169.63
R000243,T000167,2026-05-23,S009,P0099,1,Wrong Item,44.46
R000244,T000202,2026-05-18,S009,P0047,2,Customer Changed Mind,114.34
R000245,T000118,2026-05-24,S009,P0084,1,Customer Changed Mind,73.94
R000246,T000641,2026-05-22,S006,P0059,1,Quality Issue,110.73
R000247,T000594,2026-05-09,S007,P0083,3,Size Issue,123.99
R000248,T001118,2026-05-20,S002,P0087,1,Quality Issue,55.98
R000249,T000977,2026-05-16,S001,P0025,1,Size Issue,81.25
R000250,T000309,2026-05-25,S004,P0069,1,Quality Issue,164.91
R_BAD_001,T999999,2026-06-15,S999,P9999,-1,,-50
